Date,Température
01/07/07,73.7
02/07/07,67.8
03/07/07,72.2
04/07/07,75.6
05/07/07,80.2
06/07/07,80.3
07/07/07,74.9
08/07/07,80.7
09/07/07,74.5
10/07/07,79.2
11/07/07,78.8
12/07/07,86.3
13/07/07,69.1
14/07/07,69.2
15/07/07,75.6
16/07/07,85.4
17/07/07,71.1
18/07/07,72.8
19/07/07,80.3
20/07/07,87.4
21/07/07,71.4
22/07/07,79.6
23/07/07,84.1
24/07/07,81.0
25/07/07,74.3
26/07/07,81.8
27/07/07,72.8
28/07/07,66.7
29/07/07,70.7
30/07/07,77.3
31/07/07,72.4
01/08/07,69.7
02/08/07,62.8
03/08/07,64.0
04/08/07,82.0
05/08/07,69.9
06/08/07,71.1
07/08/07,72.1
08/08/07,79.1
09/08/07,61.9
10/08/07,72.8
11/08/07,75.8
12/08/07,67.8
13/08/07,72.8
14/08/07,79.9
15/08/07,65.9
16/08/07,67.3
17/08/07,77.1
18/08/07,65.3
19/08/07,75.2
20/08/07,68.4
21/08/07,67.3
22/08/07,76.2
23/08/07,84.7
24/08/07,78.5
25/08/07,75.6
26/08/07,72.8
27/08/07,73.6
28/08/07,69.8
29/08/07,70.9
30/08/07,72.8
31/08/07,76.1
sdftgrtz,1283
